NPO,Year Founded,Partner Status,Address,Municipality,Department,Muncipality 2,Department 2,Municipality 3,Department 3,Municipality 4,Department 4,Municipality 5,Department 5,Size,Budget,Health,Edu,CommDev,Youth & Child,Women & Girls,EnviroCons,Crime,Human Rights,Animal Welfare,501(c)3,GuatReg Asoc,GuatReg NGO,Web 990s,Annual Reports,Fin Statements,Board Members,Privacy Policy,Web NPO Proof
Adisa,1998,Y,,Santiago Atitlán,Sololá,NA,NA,NA,NA,NA,NA,NA,NA,Small,"$400,000",Y,Y,N,Y,N,N,N,N,N,N,,Y,,,,,,
Ak'Tenamit,1991,Y,,Livingston,Izabal ,NA,NA,NA,NA,NA,NA,NA,NA,Large,"$1,000,000",Y,Y,Y,Y,Y,Y,N,Y,N,Y,,Y,,,,,,
Amigos de Santa Cruz,1998,Y,,Santa Cruz la Laguna,Sololá,NA,NA,NA,NA,NA,NA,NA,NA,Small,"$450,000",Y,Y,Y,Y,Y,Y,N,Y,N,Y,,Y,,,,,,
Amigos Hospitalito Atitlan,2006,Y,,Santiago Atitlán,Sololá,NA,NA,NA,NA,NA,NA,NA,NA,Medium,"$665,000",Y,N,N,N,N,N,N,N,N,Y,,Y,,,,,,
Animal Aware,1999,Y,,Sumpango,Sacatepéquez,NA,NA,NA,NA,NA,NA,NA,NA,Micro,"$64,500",N,N,N,N,N,N,N,N,Y,Y,,Y,,,,,,
Arcas,,Y,,Reserva de la Biósfera Maya (RBM),Peten,Guatemala,Guatemala,Hawaii,Santa Rosa,NA,NA,NA,NA,Small,"$300,000",N,N,N,N,N,Y,N,N,Y,,,,,,,,,
Asociación Caras Alegres,2004,Y,,Quetzaltenango,Quetzaltenango,NA,NA,NA,NA,NA,NA,NA,NA,Micro,"$59,556.65",Y,Y,N,Y,N,N,N,N,N,-,,Y,,,,,,
Asociacion Forjando Mi Mañana,2012,Y,,Panajachel,Sololá,NA,NA,NA,NA,NA,NA,NA,NA,Nano,"$40,000",N,Y,Y,N,Y,N,N,Y,N,-,,Y,,,,,,
Asociación VIDA,2012,Y,,San Miguel Dueñas,Sacatepéquez,NA,NA,NA,NA,NA,NA,NA,NA,Nano,"$40,000",Y,Y,N,Y,Y,Y,N,N,N,-,,Y,,,,,,
ASSADE,2011,Y,,San Andrés Itzapa,Chimaltenango,NA,NA,NA,NA,NA,NA,NA,NA,Micro,"$79,000",Y,Y,N,Y,Y,N,N,N,N,-,,Y,,,,,,
Ayuda para Perros y Gatos,2009,Y,,Panajachel,Lake Atitlan,NA,NA,NA,NA,NA,NA,NA,NA,Micro,"$60,000",N,N,N,N,N,N,N,N,Y,-,,Y,,,,,,
Casa Guatemala,1977,Y,,Livingston,Izabal,NA,NA,NA,NA,NA,NA,NA,NA,Small,"$309,965.96",N,Y,N,Y,N,N,N,N,N,Y,,Y,,,,,,
CasaSito,2004,Y,,Antigua,Sacatepequez,San Cristóbal,Alta Verapaz,NA,NA,NA,NA,NA,NA,Small,"$300,000",N,Y,N,Y,N,N,N,N,N,Y,,Y,,,,,,
Cojolya Association of Maya Women Weavers,1983,Y,,Santiago Atitlán,Sololá,NA,NA,NA,NA,NA,NA,NA,NA,Micro,"$93,333",N,N,Y,N,Y,N,N,N,N,-,,Y,,,,,,
ConstruCasa,2004,Y,,Antigua,Sacatepéquez,NA,NA,NA,NA,NA,NA,NA,NA,Very Large,"$4,500,000",N,N,Y,N,N,N,N,N,N,Y,,Y,,,,,,
Creamos Futuros,2008,Y,,Guatemala,Guatemala,NA,NA,NA,NA,NA,NA,NA,NA,Small,"$124,733",N,N,Y,N,Y,N,N,N,N,-,,Y,,,,,,
Days for Girls Guatemala,2008,Y,,Panajachel,Sololá,NA,NA,NA,NA,NA,NA,NA,NA,Micro,"$54,438.13",N,N,N,N,Y,N,N,N,N,Y,,Y,,,,,,
"De La Gente, Inc",2014,Y,,Ciudad Vieja,Sacatepéquez,NA,NA,NA,NA,NA,NA,NA,NA,Medium,"$856,017",N,N,Y,N,N,N,N,N,N,Y,,Y,,,,,,
Education for the Children (EFTC),2003,Y,,Jocotenango,Sacatepéquez,NA,NA,NA,NA,NA,NA,NA,NA,Large,"$1,000,000.00",Y,Y,Y,N,N,N,N,N,N,Y,,Y,,,,,,
EntreMundos,2001,Y,,Quetzaltenango,Quetzaltenango,NA,NA,NA,NA,NA,NA,NA,NA,Micro,"$66,666",N,Y,Y,Y,N,N,N,N,N,-,,Y,,,,,,
Guatemalan Housing Alliance,2011,Y,,San Juan la Laguna,Sololá,NA,NA,NA,NA,NA,NA,NA,NA,Nano,"$43,000",N,Y,Y,N,Y,N,N,N,N,-,,Y,,,,,,
Health & Help,2015,Y,,Momostenango,Totonicapan,NA,NA,NA,NA,NA,NA,NA,NA,Mico,"$90,840.00",Y,N,N,N,Y,N,N,N,N,Y,,Y,,,,,,
​Hogar Campestre Adventista Los Pinos,1980,Y,,Poptún,Peten,Guatemala,Guatemala,NA,NA,NA,NA,NA,NA,Medium,"$626,666.67",Y,Y,N,Y,N,N,N,N,N,-,,Y,,,,,,
Konojel Community Center,2017,Y,,San Marcos La Laguna,Sololá,NA,NA,NA,NA,NA,NA,NA,NA,Nano,"$40,000",Y,Y,Y,N,Y,N,N,N,N,Y,,Y,,,,,,
Las Manos de Christine,2006,Y,,Antigua,Sacatepéquez,NA,NA,NA,NA,NA,NA,NA,NA,Nano,"$15,000",Y,Y,N,Y,N,N,N,N,N,Y,,-,,,,,,
Limitless Horizons Ixil,2004,Y,,Chajul,Quiche,NA,NA,NA,NA,NA,NA,NA,NA,Small,"$270,000",N,Y,Y,N,Y,N,N,N,N,Y,,Y,,,,,,
Long Way Home,2005,Y,,San Juan Comalapa,Chimaltenango,NA,NA,NA,NA,NA,NA,NA,NA,Small,"$200,000",Y,Y,Y,N,N,Y,N,N,N,Y,,School registered with MinEdu,,,,,,
Maya Traditions,1996,Y,,Panajachel,Sololá,NA,NA,NA,NA,NA,NA,NA,NA,Small,"$250,000",N,Y,Y,N,Y,N,N,N,N,Y,,Y,,,,,,
Mercado Global,2004,Y,,Panajachel,Sololá,NA,NA,NA,NA,NA,NA,NA,NA,Large,"$1,387,077",Y,Y,Y,N,Y,N,N,N,N,Y,,Y,,,,,,
Minnasan,2016,Y,,Chimaltenango,Chimaltenango ,NA,NA,NA,NA,NA,NA,NA,NA,,,Y,Y,Y,Y,Y,Y,Y,Y,N,-,,Y,,,,,,
Multicolores,2014,Y,,Panajachel,Sololá,NA,Sacatepéquez,NA,Totonicapán,NA,Quiché,NA,Quetzaltenango,,,N,N,Y,N,Y,N,N,N,N,-,,Y,,,,,,
Niños con Bendición,2006,Y,,San Antonio Aguas Calientes,Sacatepéquez,NA,NA,NA,NA,NA,NA,NA,NA,,,N,Y,N,N,N,N,N,N,N,-,,Y,,,,,,
Niños de Guatemala,2006,Y,,Antigua,Sacatepéquez,NA,NA,NA,NA,NA,NA,NA,NA,Medium,"$600,000",N,Y,Y,N,N,N,N,N,N,Y,,Y,,,,,,
ODIM Guatemala,2005,Y,,San Juan la Laguna,Sololá,NA,NA,NA,NA,NA,NA,NA,NA,Small,"$330,000",Y,Y,N,Y,Y,N,N,N,N,Y,,in process of registering,,,,,,
Primeros Pasos,2002,Y,,Quetzaltenango,Quetzaltenango,NA,NA,NA,NA,NA,NA,NA,NA,Micro,"$60,000",Y,N,N,N,N,N,N,N,N,Y,,Y,,,,,,
Project Somos,2002,Y,,Tecpan,Chimaltenango,NA,NA,NA,NA,NA,NA,NA,NA,Small,"$447,000",N,Y,N,Y,Y,N,N,N,N,Y,,Y,,,,,,
Ripple Effect,2009,Y,,Chel,Quiche,NA,NA,NA,NA,NA,NA,NA,NA,Small,"$100,000",Y,N,N,N,N,N,N,N,N,Y,,-,,,,,,
Seeds For a Future,2007,Y,,Chocolá,Suchitepequez ,NA,NA,NA,NA,NA,NA,NA,NA,,,Y,N,N,N,N,N,N,N,N,Y,,Y,,,,,,
Semilla Nueva,2011,Y,,Guatemala,Guatemala,NA,NA,NA,NA,NA,NA,NA,NA,Medium,"$786,000",Y,N,Y,N,N,N,N,N,N,Y,,Y,,,,,,
Ser Niña,2015,Y,,Antigua,Sacatepéquez,NA,NA,NA,NA,NA,NA,NA,NA,Micro,"$69,100",N,Y,Y,Y,Y,N,N,Y,N,Y,,Y (in progress),,,,,,
SERES,2009,Y,,Antigua,Sacatepéquez,NA,Quiché,NA,Quetzaltenango,NA,Chimaltenango,NA,NA,Small,"$250,000",N,Y,N,N,N,N,N,N,N,Y,,Y,,,,,,
Sharing the Dream Guatemala,1996,Y,,Panajachel,Sololá,NA,NA,NA,NA,NA,NA,NA,NA,Small,"$130,000",Y,N,Y,N,Y,N,N,N,N,Y,,Y,,,,,,
Sonido del Movimiento,2016,Y,,Quetzaltenango,Quetzaltenango,NA,NA,NA,NA,NA,NA,NA,NA,Nano,"$25,360",N,Y,N,Y,N,N,N,N,N,Y,,-,,,,,,
Sueños,2018,Y,,Antigua,Sacatepéquez,NA,NA,NA,NA,NA,NA,NA,NA,,,N,Y,N,Y,N,N,N,N,N,Y,,Y,,,,,,
The Integral Heart Family,2011,Y,,Antigua,Sacatepéquez,NA,NA,NA,NA,NA,NA,NA,NA,Small,"$170,000",N,Y,Y,N,Y,N,N,Y,N,Y,,Y,,,,,,
Timmer Project Guatemala,2012/2017,Y,,San Juan Alotenango,Sacatepéquez,NA,NA,NA,NA,NA,NA,NA,NA,Nano,"$47,727.00",N,Y,N,Y,N,N,N,N,N,-,,Y,,,,,,
Vivamos Mejor,1989,Y,,Panajachel,Sololá,NA,NA,NA,NA,NA,NA,NA,NA,Large,"$1,300,000.00",Y,Y,Y,Y,Y,Y,N,Y,N,-,,Y,,,,,,
Women's Justice Initiative,2011,Y,,Patzún,Chimaltenango,NA,NA,NA,NA,NA,NA,NA,NA,Small,"$275,000",N,Y,N,N,Y,N,N,Y,N,Y,,Y,,,,,,
Worthy Village,2014,Y,,Panajachel,Sololá,NA,NA,NA,NA,NA,NA,NA,NA,Small,"$147,000",Y,Y,Y,Y,Y,N,N,N,N,Y,,Y,,,,,,
Wuqu' Kawoq' Maya Health Alliance,2007,Y,,Santiago Sacatepequez,Sacatepéquez,NA,NA,NA,NA,NA,NA,NA,NA,Large,"$1,100,000",Y,N,N,N,Y,N,N,N,N,Y,,Y,,,,,,
Xela Collective,2015,Y,,Quetzaltenango,Quetzaltenango,NA,NA,NA,NA,NA,NA,NA,NA,Nano,"$20,000.00",N,Y,N,Y,N,N,N,N,N,Y,,-,,,,,,
XelaAid,1992,Y,,San Martín Chiquito,Quetzaltenango,NA,NA,NA,NA,NA,NA,NA,NA,Medium,"$500,000",N,Y,N,Y,N,N,N,N,N,Y,,Y,,,,,,
Cacao Verapaz,2014,D,,Coban,Alta Verapaz,,,,,,,,,,,N,N,Y,N,N,Y,N,N,N,,,,,,,,,
Yo'o Guatemala,2011,D,,San Antonio Purulhá,Baja Verapaz,,,,,,,,,,,Y,Y,Y,N,N,N,N,N,N,,,,,,,,,
Maya Pedal,,D,,,Chimaltenango,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rekko ,,D,,,Chimaltenango,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundacion Educativa Pueblo-Viejo,,D,,,Chimaltenango,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemonade International,,D,,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defensores de la Naturaleza,,D,,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camino Seguro,,D,,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unmarked Streets,,D,,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingo,,D,,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
