"","npo","website","year_founded","source","partner_status","ne_dp_reason","recent_activity","address","latitude","longitude","municipality","department","address2","latitude2","longitude2","municipality2","department2","address3","latitude3","longitude3","municipality3","department3","address4","latitude4","longitude4","municipality4","department4","address5","latitude5","longitude5","municipality5","department5","size","budget","health","edu","comm_dev","youth_child","women_girls","enviro_cons","security","human_rights","animal_welfare","faith_based","religious_aff","us_tax_status","guate_reg","guate_govt_funding","seal_excellence","total_eval_score","efficiency","transparency","relevance","impact","sustainability"
"1","Â¡Buenos HÃ¡bitos, Ejercicio y NutriciÃ³n! (Â¡BEN!)","http://www.ben-ong.org/",2012,"GuateGovtList","NE","RA","N","8 calle A 33-36 z.7 Tikal 2
Guatemala, GU 01007",14.635853,-90.560691,"Guatemala","Guatemala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","N","Y","N","N","N","N","N","N","N","Secular","N","NGO",NA,"NA","NA","NA","NA","NA","NA","NA"
"2","Â¡Si Puedo! Ayudame a Crecer","http://www.ayudameacrecer.com/",2018,"GuateGovtList","E","Y","Y",NA,14.641,-90.513,"Guatemala","Guatemala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","Y","N","N","N","N","N","Y","N","N","Secular","N","NGO",NA,"NA","NA","NA","NA","NA","NA","NA"
"3","Â¡Vamos Solola!","No",2009,"GuateGovtList","NE","PI",NA,NA,14.740421,-91.15226,"Panajachel","SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,"NA","NA","NA","NA","NA","NA","NA"
"4","""Hechos Dos"" Sembrando Una Semilla de Amor Al Projimo (AHEDOS)","No",2010,"GuateGovtList","NE","PI",NA,NA,16.334469,-89.4332172,"PoptÃºn","PetÃ©n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,"NA","NA","NA","NA","NA","NA","NA"
"5","101 Sonrisas","https://twitter.com/ong101sonrisas?lang=en",2012,"GuateGovtList","NE","RA","N",NA,14.6425678,-90.6495801,"Mixco","Guatemala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","N","Y","N","N","Y","N","N","N","N","Secular",NA,"NGO",NA,"NA","NA","NA","NA","NA","NA","NA"
"6","15 de Junio","No",2000,"GuateGovtList","NE","PI",NA,NA,14.766775,-91.178319,"SololÃ¡","SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,"NA","NA","NA","NA","NA","NA","NA"
"7","32 Volcanes","https://www.facebook.com/32volcanes/",2019,"Referral","E","Y","Y","9na calle 9-38 zona 1. Frente al colegio Teresa MartÃ­n",14.8320638,-91.5205583,"Quetzaltenango","Quetzaltenango",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","Y","Y","N","N","N","N","N","N","N","Secular","N",NA,NA,"NA","NA","NA","NA","NA","NA","NA"
"8","A Futuro","No",2013,"GuateGovtList","NE","PI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","Asso",NA,"NA","NA","NA","NA","NA","NA","NA"
"9","Abastecedores Rodeenses (ADAR)","No",2007,"GuateGovtList","NE","PI",NA,NA,14.9149133,-91.9782686,"San JosÃ© El Rodeo","San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,"NA","NA","NA","NA","NA","NA","NA"
"10","ABC, Aprendizaje, Bienestar y Cambio","No",2019,"GuateGovtList","NE","PI",NA,NA,14.641,-90.513,"Guatemala","Guatemala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NGO",NA,"NA","NA","NA","NA","NA","NA","NA"
"11","Abies Guatemalensis para el Desarrollo Integral (PINABET)","No",2009,"GuateGovtList","NE","PI",NA,NA,15.3183403,-91.528768,"Huehuetenango","Huehuetenango",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NGO",NA,"NA","NA","NA","NA","NA","NA","NA"
"12","Abogados y Notarios","https://www.facebook.com/Asociaci%C3%B3n-de-Abogados-y-Notarios-del-departamento-de-Solol%C3%A1-112636419416504/",1994,"GuateGovtList","E","Y","Y",NA,14.766775,-91.178319,"SololÃ¡","SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N","N","N","N","N","Y","N","N","N","Secular",NA,"Asso",NA,"NA","NA","NA","NA","NA","NA","NA"
"13","Abogados y Notarios Mayas de Guatemala (Nim Apju)","https://nimajpu.org/",2004,"GuateGovtList","E","Y","Y","11 calle 10-56, Zona 1
Edificio Santo Domingo, Oficina 501",14.6373165,-90.5112891,"Guatemala","Guatemala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N","N","N","N","N","N","Y","N","N","Secular",NA,"NGO",NA,"NA","NA","NA","NA","NA","NA","NA"
"14","Abriendo Caminos con Esperanza y AcciÃ³n Solidaria (ACEAS)","No",2019,"GuateGovtList","NE","PI",NA,NA,14.6424017,-90.6495799,"Mixco","Guatemala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","NGO",NA,"NA","NA","NA","NA","NA","NA","NA"
