"","name","category","address","region","latitude","longitude","optional"
"1","Adisa","Health","Canton Tzanchicham, Santiago Atitlán, Sololá Guatemala 70019","Lake Atitlan",14.640205,-91.228724,TRUE
"2","Adisa","Education","Canton Tzanchicham, Santiago Atitlán, Sololá Guatemala 70019","Lake Atitlan",14.640205,-91.228724,TRUE
"3","Adisa","Community Development","Canton Tzanchicham, Santiago Atitlán, Sololá Guatemala 70019","Lake Atitlan",14.640205,-91.228724,TRUE
"4","Adisa","Youth & Children","Canton Tzanchicham, Santiago Atitlán, Sololá Guatemala 70019","Lake Atitlan",14.640205,-91.228724,TRUE
"5","Adisa","Health","Canton Tzanchicham, Santiago Atitlán, Sololá Guatemala 70019","Lake Atitlan",14.640205,-91.228724,TRUE
"6","Ak'Tenamit","Health","Río Tatín, Livingston","Izabal",15.787929,-88.800673,TRUE
"7","Ak'Tenamit","Education","Río Tatín, Livingston","Izabal",15.787929,-88.800673,TRUE
"8","Ak'Tenamit","Women & Girls","Río Tatín, Livingston","Izabal",15.787929,-88.800673,TRUE
"9","Ak'Tenamit","Community Development","Río Tatín, Livingston","Izabal",15.787929,-88.800673,TRUE
"10","Ak'Tenamit","Human Rights","Río Tatín, Livingston","Izabal",15.787929,-88.800673,TRUE
"11","Ak'Tenamit","Youth & Children","Río Tatín, Livingston","Izabal",15.787929,-88.800673,TRUE
"12","Ak'Tenamit","Environment & Conservation","Río Tatín, Livingston","Izabal",15.787929,-88.800673,TRUE
"13","Ak'Tenamit","Youth & Children","Río Tatín, Livingston","Izabal",15.787929,-88.800673,TRUE
"14","Amigos de Santa Cruz","Health","Santa Cruz la Laguna, Sololá","Lake Atitlan",14.741926,-91.20759,TRUE
"15","Amigos de Santa Cruz","Education","Santa Cruz la Laguna, Sololá","Lake Atitlan",14.741926,-91.20759,TRUE
"16","Amigos de Santa Cruz","Women & Girls","Santa Cruz la Laguna, Sololá","Lake Atitlan",14.741926,-91.20759,TRUE
"17","Amigos de Santa Cruz","Community Development","Santa Cruz la Laguna, Sololá","Lake Atitlan",14.741926,-91.20759,TRUE
"18","Amigos de Santa Cruz","Human Rights","Santa Cruz la Laguna, Sololá","Lake Atitlan",14.741926,-91.20759,TRUE
"19","Amigos de Santa Cruz","Youth & Children","Santa Cruz la Laguna, Sololá","Lake Atitlan",14.741926,-91.20759,TRUE
"20","Amigos de Santa Cruz","Environment & Conservation","Santa Cruz la Laguna, Sololá","Lake Atitlan",14.741926,-91.20759,TRUE
"21","Amigos de Santa Cruz","Community Development","Santa Cruz la Laguna, Sololá","Lake Atitlan",14.741926,-91.20759,TRUE
"22","Amigos de Santa Cruz","Community Development","Santa Cruz la Laguna, Sololá","Lake Atitlan",14.741926,-91.20759,TRUE
"23","Amigos Hospitalito Atitlan","Health","Santiago Atitlan, Sololá","Lake Atitlan",14.641212,-91.227679,TRUE
"24","Animal Aware","Animal Welfare","Granja Montecito, Pachaj, Sumpango","Sacatepequez",14.650763,-90.720817,TRUE
"25","Arcas","Animal Welfare","Ciudad de Guatemala, Guatemala","Guatemala ",16.930195,-89.872309,TRUE
"26","Arcas","Environment & Conservation","Ciudad de Guatemala, Guatemala","Guatemala ",16.930195,-89.872309,TRUE
"27","Arcas","Environment & Conservation","Ciudad de Guatemala, Guatemala","Guatemala ",16.930195,-89.872309,TRUE
"28","Arcas","Animal Welfare","Hawaii, Santa Rosa ","Santa Rosa",13.863339,-90.407052,TRUE
"29","Arcas","Environment & Conservation","Hawaii, Santa Rosa ","Santa Rosa",13.863339,-90.407052,TRUE
"30","Arcas","Environment & Conservation","Hawaii, Santa Rosa ","Santa Rosa",13.863339,-90.407052,TRUE
"31","Arcas","Animal Welfare","Orilla de Reserva de la Biósfera Maya (RBM)","Peten",17.480599,-89.856637,TRUE
"32","Arcas","Environment & Conservation","Orilla de Reserva de la Biósfera Maya (RBM)","Peten",17.480599,-89.856637,TRUE
"33","Arcas","Environment & Conservation","Orilla de Reserva de la Biósfera Maya (RBM)","Peten",17.480599,-89.856637,TRUE
"34","Asociación Caras Alegres","Health","Diagonal 15 18-84B Zona 5, Las Rosas, Ciudad de Quetzaltenango","Quetzaltenango",14.84236,-91.484059,TRUE
"35","Asociación Caras Alegres","Education","Diagonal 15 18-84B Zona 5, Las Rosas, Ciudad de Quetzaltenango","Quetzaltenango",14.84236,-91.484059,TRUE
"36","Asociación Caras Alegres","Youth & Children","Diagonal 15 18-84B Zona 5, Las Rosas, Ciudad de Quetzaltenango","Quetzaltenango",14.84236,-91.484059,TRUE
"37","Asociación Caras Alegres","Youth & Children","Diagonal 15 18-84B Zona 5, Las Rosas, Ciudad de Quetzaltenango","Quetzaltenango",14.84236,-91.484059,TRUE
"38","Asociacion Forjando Mi Mañana","Education","Panajachel (Buena Vista, Peña Blanca, San Andres)","Lake Atitlan",14.73612,-91.153404,TRUE
"39","Asociacion Forjando Mi Mañana","Women & Girls","Panajachel (Buena Vista, Peña Blanca, San Andres)","Lake Atitlan",14.73612,-91.153404,TRUE
"40","Asociacion Forjando Mi Mañana","Community Development","Panajachel (Buena Vista, Peña Blanca, San Andres)","Lake Atitlan",14.73612,-91.153404,TRUE
"41","Asociacion Forjando Mi Mañana","Human Rights","Panajachel (Buena Vista, Peña Blanca, San Andres)","Lake Atitlan",14.73612,-91.153404,TRUE
"42","Asociacion Forjando Mi Mañana","Education","Buena Vista ","Sacatepequez",14.671999,-90.64579,TRUE
"43","Asociacion Forjando Mi Mañana","Women & Girls","Buena Vista ","Sacatepequez",14.671999,-90.64579,TRUE
"44","Asociacion Forjando Mi Mañana","Community Development","Buena Vista ","Sacatepequez",14.671999,-90.64579,TRUE
"45","Asociacion Forjando Mi Mañana","Human Rights","Buena Vista ","Sacatepequez",14.671999,-90.64579,TRUE
"46","Asociacion Forjando Mi Mañana","Education","Peña Blanca","Izabal ",15.169521,-88.966981,TRUE
"47","Asociacion Forjando Mi Mañana","Women & Girls","Peña Blanca","Izabal ",15.169521,-88.966981,TRUE
"48","Asociacion Forjando Mi Mañana","Community Development","Peña Blanca","Izabal ",15.169521,-88.966981,TRUE
